scheme,phase_pair,phase_pair_order,group_id,group_label,prior_present_total,continue_count,drop_count,retention_rate,drop_rate_given_prior_presence,interpretation_status
landform,Jo->Ya,2,LF_CLASS::水部,水部,25,2,23,0.08,0.92,eligible
landform,Jo->Ya,2,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,311,41,270,0.13183279742765272,0.8681672025723473,eligible
landform,Jo->Ya,2,LF_CLASS::砂州・砂丘,砂州・砂丘,10,3,7,0.3,0.7,low_n_descriptive_only
landform,Jo->Ya,2,LF_CLASS::自然堤防,自然堤防,3,1,2,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::凹地・浅い谷,凹地・浅い谷,18,8,10,0.4444444444444444,0.5555555555555556,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::台地・段丘,台地・段丘,953,312,641,0.3273871983210913,0.6726128016789087,eligible
landform,Ko->Na,4,LF_CLASS::山地斜面等,山地斜面等,397,207,190,0.5214105793450882,0.47858942065491183,eligible
landform,Ko->Na,4,LF_CLASS::山麓堆積地形,山麓堆積地形,8,7,1,0.875,0.125,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::崖・段丘崖,崖・段丘崖,58,15,43,0.25862068965517243,0.7413793103448276,eligible
landform,Ko->Na,4,LF_CLASS::後背低地・湿地,後背低地・湿地,6,4,2,0.6666666666666666,0.3333333333333333,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::扇状地,扇状地,1,0,1,0,1,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::旧水部,旧水部,1,0,1,0,1,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::旧河道,旧河道,7,3,4,0.42857142857142855,0.5714285714285714,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::水部,水部,4,2,2,0.5,0.5,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,134,68,66,0.5074626865671642,0.4925373134328358,eligible
landform,Ko->Na,4,LF_CLASS::砂州・砂丘,砂州・砂丘,18,10,8,0.5555555555555556,0.4444444444444444,low_n_descriptive_only
landform,Ko->Na,4,LF_CLASS::自然堤防,自然堤防,21,13,8,0.6190476190476191,0.38095238095238093,eligible
landform,Na->He,5,LF_CLASS::凹地・浅い谷,凹地・浅い谷,16,13,3,0.8125,0.1875,low_n_descriptive_only
landform,Na->He,5,LF_CLASS::台地・段丘,台地・段丘,543,453,90,0.8342541436464088,0.16574585635359115,eligible
landform,Na->He,5,LF_CLASS::山地斜面等,山地斜面等,791,712,79,0.900126422250316,0.09987357774968394,eligible
landform,Na->He,5,LF_CLASS::山麓堆積地形,山麓堆積地形,34,32,2,0.9411764705882353,0.058823529411764705,eligible
landform,Na->He,5,LF_CLASS::崖・段丘崖,崖・段丘崖,30,12,18,0.4,0.6,eligible
landform,Na->He,5,LF_CLASS::後背低地・湿地,後背低地・湿地,7,6,1,0.8571428571428571,0.14285714285714285,low_n_descriptive_only
landform,Na->He,5,LF_CLASS::旧河道,旧河道,4,4,0,1,0,low_n_descriptive_only
landform,Na->He,5,LF_CLASS::水部,水部,7,7,0,1,0,low_n_descriptive_only
landform,Na->He,5,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,201,181,20,0.900497512437811,0.09950248756218906,eligible
landform,Na->He,5,LF_CLASS::砂州・砂丘,砂州・砂丘,22,19,3,0.8636363636363636,0.13636363636363635,eligible
landform,Na->He,5,LF_CLASS::自然堤防,自然堤防,23,21,2,0.9130434782608695,0.08695652173913043,eligible
landform,Pa->Jo,1,LF_CLASS::凹地・浅い谷,凹地・浅い谷,24,20,4,0.8333333333333334,0.16666666666666666,eligible
landform,Pa->Jo,1,LF_CLASS::台地・段丘,台地・段丘,392,361,31,0.9209183673469388,0.07908163265306123,eligible
landform,Pa->Jo,1,LF_CLASS::山地斜面等,山地斜面等,217,196,21,0.9032258064516129,0.0967741935483871,eligible
landform,Pa->Jo,1,LF_CLASS::山麓堆積地形,山麓堆積地形,7,7,0,1,0,low_n_descriptive_only
landform,Pa->Jo,1,LF_CLASS::崖・段丘崖,崖・段丘崖,9,9,0,1,0,low_n_descriptive_only
landform,Pa->Jo,1,LF_CLASS::後背低地・湿地,後背低地・湿地,1,1,0,1,0,low_n_descriptive_only
landform,Pa->Jo,1,LF_CLASS::旧河道,旧河道,1,1,0,1,0,low_n_descriptive_only
landform,Pa->Jo,1,LF_CLASS::水部,水部,7,7,0,1,0,low_n_descriptive_only
landform,Pa->Jo,1,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,33,29,4,0.8787878787878788,0.12121212121212122,eligible
landform,Ya->Ko,3,LF_CLASS::凹地・浅い谷,凹地・浅い谷,9,6,3,0.6666666666666666,0.3333333333333333,low_n_descriptive_only
landform,Ya->Ko,3,LF_CLASS::台地・段丘,台地・段丘,374,237,137,0.6336898395721925,0.3663101604278075,eligible
landform,Ya->Ko,3,LF_CLASS::山地斜面等,山地斜面等,173,67,106,0.3872832369942196,0.6127167630057804,eligible
landform,Ya->Ko,3,LF_CLASS::山麓堆積地形,山麓堆積地形,5,2,3,0.4,0.6,low_n_descriptive_only
landform,Ya->Ko,3,LF_CLASS::崖・段丘崖,崖・段丘崖,8,2,6,0.25,0.75,low_n_descriptive_only
landform,Ya->Ko,3,LF_CLASS::後背低地・湿地,後背低地・湿地,5,5,0,1,0,low_n_descriptive_only
landform,Ya->Ko,3,LF_CLASS::水部,水部,2,1,1,0.5,0.5,low_n_descriptive_only
landform,Ya->Ko,3,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,54,29,25,0.5370370370370371,0.46296296296296297,eligible
landform,Ya->Ko,3,LF_CLASS::砂州・砂丘,砂州・砂丘,5,3,2,0.6,0.4,low_n_descriptive_only
landform,Ya->Ko,3,LF_CLASS::自然堤防,自然堤防,8,4,4,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_120000_6,名称不明 / basin 6,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_130000_1,名称不明 / basin 1,4,1,3,0.25,0.75,low_n_descriptive_only
unit_basin,He->Me,6,B_130000_2,名称不明 / basin 2,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_130000_4,名称不明 / basin 4,8,4,4,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_130000_5,名称不明 / basin 5,33,11,22,0.3333333333333333,0.6666666666666666,eligible
unit_basin,He->Me,6,B_130000_6,名称不明 / basin 6,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_140013_17,境川 / basin 17,182,35,147,0.19230769230769232,0.8076923076923077,eligible
unit_basin,He->Me,6,B_140013_19,境川 / basin 19,15,3,12,0.2,0.8,low_n_descriptive_only
unit_basin,He->Me,6,B_830303_345,利根川 / basin 345,1,1,0,1,0,low_n_descriptive_only
unit_basin,He->Me,6,B_830303_347,利根川 / basin 347,6,6,0,1,0,low_n_descriptive_only
unit_basin,He->Me,6,B_830303_389,利根川 / basin 389,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830303_393,利根川 / basin 393,2,1,1,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830303_427,利根川 / basin 427,4,4,0,1,0,low_n_descriptive_only
unit_basin,He->Me,6,B_830303_478,利根川 / basin 478,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830303_517,利根川 / basin 517,4,3,1,0.75,0.25,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_120,荒川 / basin 120,31,7,24,0.22580645161290322,0.7741935483870968,eligible
unit_basin,He->Me,6,B_830304_15,荒川 / basin 15,5,3,2,0.6,0.4,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_16,荒川 / basin 16,7,3,4,0.42857142857142855,0.5714285714285714,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_161,荒川 / basin 161,2,1,1,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_194,荒川 / basin 194,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_25,荒川 / basin 25,20,11,9,0.55,0.45,eligible
unit_basin,He->Me,6,B_830304_26,荒川 / basin 26,5,2,3,0.4,0.6,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_27,荒川 / basin 27,10,5,5,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_36,荒川 / basin 36,1,1,0,1,0,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_37,荒川 / basin 37,2,0,2,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_38,荒川 / basin 38,5,0,5,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_39,荒川 / basin 39,6,1,5,0.16666666666666666,0.8333333333333334,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_40,荒川 / basin 40,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_42,荒川 / basin 42,7,1,6,0.14285714285714285,0.8571428571428571,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_44,荒川 / basin 44,1,1,0,1,0,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_47,荒川 / basin 47,14,4,10,0.2857142857142857,0.7142857142857143,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_51,荒川 / basin 51,4,3,1,0.75,0.25,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_52,荒川 / basin 52,15,6,9,0.4,0.6,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_53,荒川 / basin 53,2,0,2,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_54,荒川 / basin 54,6,0,6,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_55,荒川 / basin 55,8,3,5,0.375,0.625,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_56,荒川 / basin 56,10,6,4,0.6,0.4,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_57,荒川 / basin 57,5,1,4,0.2,0.8,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_61,荒川 / basin 61,7,4,3,0.5714285714285714,0.42857142857142855,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_67,荒川 / basin 67,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_68,荒川 / basin 68,32,8,24,0.25,0.75,eligible
unit_basin,He->Me,6,B_830304_69,荒川 / basin 69,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_70,荒川 / basin 70,7,1,6,0.14285714285714285,0.8571428571428571,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_79,荒川 / basin 79,8,1,7,0.125,0.875,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_80,荒川 / basin 80,6,0,6,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_82,荒川 / basin 82,32,1,31,0.03125,0.96875,eligible
unit_basin,He->Me,6,B_830304_83,荒川 / basin 83,16,7,9,0.4375,0.5625,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_86,荒川 / basin 86,57,19,38,0.3333333333333333,0.6666666666666666,eligible
unit_basin,He->Me,6,B_830304_87,荒川 / basin 87,4,1,3,0.25,0.75,low_n_descriptive_only
unit_basin,He->Me,6,B_830304_88,荒川 / basin 88,8,0,8,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_1,多摩川 / basin 1,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_10,多摩川 / basin 10,20,7,13,0.35,0.65,eligible
unit_basin,He->Me,6,B_830305_12,多摩川 / basin 12,20,8,12,0.4,0.6,eligible
unit_basin,He->Me,6,B_830305_13,多摩川 / basin 13,7,4,3,0.5714285714285714,0.42857142857142855,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_14,多摩川 / basin 14,16,9,7,0.5625,0.4375,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_16,多摩川 / basin 16,3,1,2,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_17,多摩川 / basin 17,53,21,32,0.39622641509433965,0.6037735849056604,eligible
unit_basin,He->Me,6,B_830305_18,多摩川 / basin 18,45,14,31,0.3111111111111111,0.6888888888888889,eligible
unit_basin,He->Me,6,B_830305_19,多摩川 / basin 19,19,7,12,0.3684210526315789,0.631578947368421,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_2,多摩川 / basin 2,5,1,4,0.2,0.8,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_20,多摩川 / basin 20,14,7,7,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_21,多摩川 / basin 21,2,1,1,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_22,多摩川 / basin 22,122,43,79,0.3524590163934426,0.6475409836065574,eligible
unit_basin,He->Me,6,B_830305_23,多摩川 / basin 23,128,47,81,0.3671875,0.6328125,eligible
unit_basin,He->Me,6,B_830305_24,多摩川 / basin 24,2,0,2,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_25,多摩川 / basin 25,12,4,8,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_26,多摩川 / basin 26,3,1,2,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_27,多摩川 / basin 27,9,7,2,0.7777777777777778,0.2222222222222222,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_28,多摩川 / basin 28,156,43,113,0.27564102564102566,0.7243589743589743,eligible
unit_basin,He->Me,6,B_830305_29,多摩川 / basin 29,1,1,0,1,0,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_30,多摩川 / basin 30,167,42,125,0.25149700598802394,0.7485029940119761,eligible
unit_basin,He->Me,6,B_830305_31,多摩川 / basin 31,2,0,2,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_32,多摩川 / basin 32,6,1,5,0.16666666666666666,0.8333333333333334,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_33,多摩川 / basin 33,25,2,23,0.08,0.92,eligible
unit_basin,He->Me,6,B_830305_34,多摩川 / basin 34,5,1,4,0.2,0.8,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_35,多摩川 / basin 35,49,13,36,0.2653061224489796,0.7346938775510204,eligible
unit_basin,He->Me,6,B_830305_36,多摩川 / basin 36,70,7,63,0.1,0.9,eligible
unit_basin,He->Me,6,B_830305_37,多摩川 / basin 37,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_38,多摩川 / basin 38,4,2,2,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_39,多摩川 / basin 39,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_40,多摩川 / basin 40,42,12,30,0.2857142857142857,0.7142857142857143,eligible
unit_basin,He->Me,6,B_830305_41,多摩川 / basin 41,9,1,8,0.1111111111111111,0.8888888888888888,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_42,多摩川 / basin 42,4,0,4,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_43,多摩川 / basin 43,16,7,9,0.4375,0.5625,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_44,多摩川 / basin 44,4,1,3,0.25,0.75,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_46,多摩川 / basin 46,28,0,28,0,1,eligible
unit_basin,He->Me,6,B_830305_47,多摩川 / basin 47,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_48,多摩川 / basin 48,13,2,11,0.15384615384615385,0.8461538461538461,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_49,多摩川 / basin 49,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_50,多摩川 / basin 50,3,1,2,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_51,多摩川 / basin 51,2,0,2,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_52,多摩川 / basin 52,2,1,1,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_55,多摩川 / basin 55,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_56,多摩川 / basin 56,5,3,2,0.6,0.4,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_57,多摩川 / basin 57,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_58,多摩川 / basin 58,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_59,多摩川 / basin 59,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_62,多摩川 / basin 62,3,0,3,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_67,多摩川 / basin 67,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_68,多摩川 / basin 68,4,0,4,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_69,多摩川 / basin 69,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_70,多摩川 / basin 70,3,1,2,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_72,多摩川 / basin 72,2,0,2,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_73,多摩川 / basin 73,5,2,3,0.4,0.6,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_74,多摩川 / basin 74,2,1,1,0.5,0.5,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_75,多摩川 / basin 75,8,2,6,0.25,0.75,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_76,多摩川 / basin 76,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_8,多摩川 / basin 8,7,6,1,0.8571428571428571,0.14285714285714285,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_82,多摩川 / basin 82,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_87,多摩川 / basin 87,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_9,多摩川 / basin 9,1,1,0,1,0,low_n_descriptive_only
unit_basin,He->Me,6,B_830305_92,多摩川 / basin 92,1,0,1,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830306_16,鶴見川 / basin 16,81,8,73,0.09876543209876543,0.9012345679012346,eligible
unit_basin,He->Me,6,B_830306_17,鶴見川 / basin 17,9,0,9,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830306_19,鶴見川 / basin 19,11,0,11,0,1,low_n_descriptive_only
unit_basin,He->Me,6,B_830306_20,鶴見川 / basin 20,218,39,179,0.17889908256880735,0.8211009174311926,eligible
unit_basin,He->Me,6,B_830306_21,鶴見川 / basin 21,45,9,36,0.2,0.8,eligible
unit_basin,He->Me,6,B_unknown_0,古川・目黒川・立会川・呑川 / basin 0,42,10,32,0.23809523809523808,0.7619047619047619,eligible
unit_basin,Jo->Ya,2,B_120000_6,名称不明 / basin 6,1,0,1,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_130000_1,名称不明 / basin 1,12,8,4,0.6666666666666666,0.3333333333333333,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_130000_2,名称不明 / basin 2,5,2,3,0.4,0.6,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_130000_3,名称不明 / basin 3,12,1,11,0.08333333333333333,0.9166666666666666,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_130000_4,名称不明 / basin 4,41,12,29,0.2926829268292683,0.7073170731707317,eligible
unit_basin,Jo->Ya,2,B_130000_5,名称不明 / basin 5,40,22,18,0.55,0.45,eligible
unit_basin,Jo->Ya,2,B_130000_6,名称不明 / basin 6,16,0,16,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_140013_17,境川 / basin 17,187,23,164,0.12299465240641712,0.8770053475935828,eligible
unit_basin,Jo->Ya,2,B_140013_19,境川 / basin 19,18,1,17,0.05555555555555555,0.9444444444444444,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830303_347,利根川 / basin 347,1,1,0,1,0,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830303_390,利根川 / basin 390,1,0,1,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830303_478,利根川 / basin 478,1,1,0,1,0,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830303_517,利根川 / basin 517,1,0,1,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_120,荒川 / basin 120,42,6,36,0.14285714285714285,0.8571428571428571,eligible
unit_basin,Jo->Ya,2,B_830304_139,荒川 / basin 139,11,0,11,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_14,荒川 / basin 14,1,0,1,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_15,荒川 / basin 15,5,4,1,0.8,0.2,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_158,荒川 / basin 158,2,0,2,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_16,荒川 / basin 16,6,4,2,0.6666666666666666,0.3333333333333333,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_161,荒川 / basin 161,3,0,3,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_167,荒川 / basin 167,3,0,3,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_194,荒川 / basin 194,6,0,6,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_25,荒川 / basin 25,11,4,7,0.36363636363636365,0.6363636363636364,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_26,荒川 / basin 26,27,9,18,0.3333333333333333,0.6666666666666666,eligible
unit_basin,Jo->Ya,2,B_830304_27,荒川 / basin 27,12,9,3,0.75,0.25,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_36,荒川 / basin 36,1,1,0,1,0,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_37,荒川 / basin 37,22,5,17,0.22727272727272727,0.7727272727272727,eligible
unit_basin,Jo->Ya,2,B_830304_38,荒川 / basin 38,14,8,6,0.5714285714285714,0.42857142857142855,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_39,荒川 / basin 39,17,4,13,0.23529411764705882,0.7647058823529411,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_40,荒川 / basin 40,23,2,21,0.08695652173913043,0.9130434782608695,eligible
unit_basin,Jo->Ya,2,B_830304_42,荒川 / basin 42,19,13,6,0.6842105263157895,0.3157894736842105,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_44,荒川 / basin 44,1,1,0,1,0,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_47,荒川 / basin 47,58,16,42,0.27586206896551724,0.7241379310344828,eligible
unit_basin,Jo->Ya,2,B_830304_51,荒川 / basin 51,7,4,3,0.5714285714285714,0.42857142857142855,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_52,荒川 / basin 52,64,17,47,0.265625,0.734375,eligible
unit_basin,Jo->Ya,2,B_830304_53,荒川 / basin 53,5,5,0,1,0,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_54,荒川 / basin 54,54,7,47,0.12962962962962962,0.8703703703703703,eligible
unit_basin,Jo->Ya,2,B_830304_55,荒川 / basin 55,26,19,7,0.7307692307692307,0.2692307692307692,eligible
unit_basin,Jo->Ya,2,B_830304_56,荒川 / basin 56,16,11,5,0.6875,0.3125,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_57,荒川 / basin 57,52,13,39,0.25,0.75,eligible
unit_basin,Jo->Ya,2,B_830304_61,荒川 / basin 61,37,16,21,0.43243243243243246,0.5675675675675675,eligible
unit_basin,Jo->Ya,2,B_830304_63,荒川 / basin 63,3,1,2,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_67,荒川 / basin 67,63,2,61,0.031746031746031744,0.9682539682539683,eligible
unit_basin,Jo->Ya,2,B_830304_68,荒川 / basin 68,59,1,58,0.01694915254237288,0.9830508474576272,eligible
unit_basin,Jo->Ya,2,B_830304_69,荒川 / basin 69,20,6,14,0.3,0.7,eligible
unit_basin,Jo->Ya,2,B_830304_70,荒川 / basin 70,52,6,46,0.11538461538461539,0.8846153846153846,eligible
unit_basin,Jo->Ya,2,B_830304_77,荒川 / basin 77,3,0,3,0,1,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_79,荒川 / basin 79,5,1,4,0.2,0.8,low_n_descriptive_only
unit_basin,Jo->Ya,2,B_830304_80,荒川 / basin 80,64,2,62,0.03125,0.96875,eligible
unit_basin,Jo->Ya,2,B_830304_82,荒川 / basin 82,25,0,25,0,1,eligible
unit_basin,Jo->Ya,2,B_830304_83,荒川 / basin 83,24,2,22,0.08333333333333333,0.9166666666666666,eligible
unit_basin,Jo->Ya,2,B_830304_86,荒川 / basin 86,96,10,86,0.10416666666666667,0.8958333333333334,eligible
unit_basin,Jo->Ya,2,B_830304_87,荒川 / basin 87,18,1,17,0.05555555555555555,0.9444444444444444,low_n_descriptive_only
