No.,都道府県,区市町村,公開状況,公開形式,ダウンロード・二次利用,公式ページ・地図
35,神奈川県,海老名市,○ 独自公開,PDF地図,△ 市域抜粋地図。二次利用条件は要確認,海老名市埋蔵文化財包蔵地地図
36,神奈川県,綾瀬市,○ 独自公開,PDF地図,△ PDF保存可。二次利用条件は要確認,綾瀬市埋蔵文化財包蔵地地図
37,山梨県,甲府市,○ 独自公開,市WebGIS「こうふMAP」,— 一括データ公開を確認できず,こうふMAP・埋蔵文化財
38,山梨県,山梨市,○ 独自公開,PDF地図、遺跡一覧,△ PDF保存可。二次利用条件は要確認,山梨市遺跡地図
39,山梨県,甲斐市,○ 独自公開,市WebGIS「デジMap甲斐」,— 一括データ公開を確認できず,デジMap甲斐
40,長野県,小諸市,○ 独自公開,地区別PDF,× データの変換・再利用等を制限,小諸市遺跡地図
41,長野県,松本市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,松本市遺跡地図
42,長野県,上田市,○ 独自公開,PDF遺跡分布図,△ PDF保存可。二次利用条件は要確認,上田市遺跡分布図
43,長野県,岡谷市,○ 独自公開,市WebGIS「くらしマップおかや」,— 一括データ公開を確認できず,岡谷市遺跡地図
44,長野県,飯田市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,飯田市埋蔵文化財包蔵地地図
45,長野県,飯島町,○ 独自公開,町公式ページ、遺跡地図,△ 保存・二次利用条件は要確認,飯島町の遺跡地図
46,静岡県,三島市,○ 独自公開,地区別PDF,△ PDF保存可。二次利用条件は要確認,三島市遺跡地図
47,静岡県,富士宮市,○ 独自公開,市公式遺跡地図,△ 保存可。二次利用条件は要確認,富士宮市遺跡地図
48,愛知県,豊橋市,○ 独自公開,市WebGIS「ちずみる豊橋」,— 一括データ公開を確認できず,ちずみる豊橋
49,愛知県,一宮市,○ 独自公開,市WebGIS「一宮138マップ」,— 一括データ公開を確認できず,一宮138マップ
50,愛知県,豊川市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,豊川市地図情報サービス
51,愛知県,刈谷市,○ 独自公開,市WebGIS「かりマップ」,— 一括データ公開を確認できず,かりマップ・文化財／遺跡
52,愛知県,小牧市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,小牧市埋蔵文化財包蔵地
53,愛知県,豊田市,○ 独自公開,市WebGIS、XLSX一覧,○ 一覧表はCC BY。包蔵地ポリゴンの取得は未確認,とよたiマップ／埋蔵文化財包蔵地一覧
54,三重県,伊勢市,○ 独自公開,ArcGIS WebGIS,— 一括データ公開を確認できず,伊勢市地理情報システム
55,三重県,松阪市,○ 独自公開,市WebGIS,×／要許諾 地図情報の転載・再利用は利用規約確認,松阪市遺跡地図情報
56,滋賀県,長浜市,○ 独自公開,市域抜粋PDF,△ PDF保存可。二次利用条件は要確認,長浜市遺跡地図
57,滋賀県,近江八幡市,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,近江八幡市遺跡地図
58,滋賀県,栗東市,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,栗東市遺跡地図
59,滋賀県,甲賀市,○ 独自公開,市WebGIS「こうかちず」,— 一括データ公開を確認できず,甲賀市遺跡地図
60,滋賀県,野洲市,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,野洲市遺跡地図
61,滋賀県,湖南市,○ 独自公開,市域抜粋PDF,△ PDF保存可。二次利用条件は要確認,湖南市遺跡地図
62,滋賀県,米原市,○ 独自公開,市域抜粋PDF,△ PDF保存可。二次利用条件は要確認,米原市遺跡地図
63,大阪府,泉大津市,○ 独自公開,PDF地図,△ PDF保存可。二次利用条件は要確認,泉大津市内の遺跡
64,大阪府,門真市,○ 独自公開,市WebGIS・地域地図,— 一括データ公開を確認できず,門真市埋蔵文化財包蔵地
65,大阪府,東大阪市,○ 独自公開,市WebGIS「e～まちマップ」,— 一括データ公開を確認できず,東大阪市地図情報システム
66,大阪府,四條畷市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,四條畷市公開型GIS
67,大阪府,富田林市,○ 独自公開,市公開データページ,○／要確認 公開ファイルあり。形式・条件は個別確認,周知の埋蔵文化財包蔵地に関する公開データ
68,兵庫県,相生市,○ 独自公開,PDF地図、地名表,△ PDF保存可。二次利用条件は要確認,相生市遺跡分布地図・地名表
69,兵庫県,洲本市,○ 独自公開,オープンデータ、SHP・CSV,◎ 空間データ、オープンライセンス表示あり,洲本市埋蔵文化財包蔵地データ
70,兵庫県,宝塚市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,宝塚市埋蔵文化財包蔵地マップ
71,兵庫県,三田市,○ 独自公開,市公式地図、PDF,△ 保存可。二次利用条件は要確認,三田市遺跡地図
72,兵庫県,福崎町,○ 独自公開,PDF地図,△ PDF保存可。二次利用条件は要確認,福崎町埋蔵文化財包蔵地地図
73,奈良県,橿原市,○ 独自公開,市公式遺跡地図,△／— 地図をオンライン公開。GISデータは未確認,橿原市遺跡地図
74,山口県,下松市,○ 独自公開,市公式遺跡地図、PDF,△ PDF保存可。二次利用条件は要確認,下松市遺跡地図
75,高知県,土佐市,○ 独自公開,PDF地図,△ PDF保存可。二次利用条件は要確認,土佐市埋蔵文化財包蔵地地図
76,宮崎県,日向市,○ 独自公開,オープンデータ、GISデータ,◎ 包蔵地範囲データ、CC BY 4.0,日向市埋蔵文化財包蔵地データ
