uid,t,method,query_lon,query_lat,success,returned_uids,item_count,attribute_count,error
1539-1430,中区NO.15,center,139.662519454345,35.413109687005,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_75,139.662502874509,35.4131040390037,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50,139.662486294672,35.4130983910025,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_25,139.662469714836,35.4130927430013,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_N5,139.662519454345,35.4131546025637,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_E5,139.662574565783,35.413109687005,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_S5,139.662519454345,35.4130647714463,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,center_W5,139.662464342907,35.413109687005,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_N5,139.662486294672,35.4131433065612,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_E5,139.662541406102,35.4130983910025,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_S5,139.662486294672,35.4130534754438,0,1539-1430|1540-1430,0,0,
1539-1430,中区NO.15,segment_50_W5,139.662431183243,35.4130983910025,0,1539-1430|1540-1430,0,0,
2415-1430,中区NO.29,center,139.654167809683,35.434559440219,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_75,139.654183534762,35.4345481689142,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50,139.654199259842,35.4345368976095,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_25,139.654214984921,35.4345256263047,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_N5,139.654167809683,35.4346043557777,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_E5,139.654222935798,35.434559440219,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_S5,139.654167809683,35.4345145246603,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,center_W5,139.654112683568,35.434559440219,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_N5,139.654199259842,35.4345818131682,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_E5,139.654254385941,35.4345368976095,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_S5,139.654199259842,35.4344919820508,0,1528-1430|2415-1430,0,0,
2415-1430,中区NO.29,segment_50_W5,139.654144133742,35.4345368976095,0,1528-1430|2415-1430,0,0,
2077-1430,保土ヶ谷区NO.25,center,139.581279234537,35.4601644020041,1,2077-1430,12,12,
2100-1430,保土ヶ谷区NO.66,center,139.569835158192,35.4419661284316,0,,0,0,
2100-1430,保土ヶ谷区NO.66,segment_75,139.569840233644,35.4419594038237,0,,0,0,
2100-1430,保土ヶ谷区NO.66,segment_50,139.569845309096,35.4419526792158,0,,0,0,
2100-1430,保土ヶ谷区NO.66,segment_25,139.569850384548,35.4419459546079,0,,0,0,
2100-1430,保土ヶ谷区NO.66,center_N5,139.569835158192,35.4420110439903,0,,0,0,
2100-1430,保土ヶ谷区NO.66,center_E5,139.569890289379,35.4419661284316,0,,0,0,
2100-1430,保土ヶ谷区NO.66,center_S5,139.569835158192,35.4419212128729,0,,0,0,
2100-1430,保土ヶ谷区NO.66,center_W5,139.569780027005,35.4419661284316,0,,0,0,
2100-1430,保土ヶ谷区NO.66,segment_50_N5,139.569845309096,35.4419975947745,0,,0,0,
2100-1430,保土ヶ谷区NO.66,segment_50_E5,139.569900440273,35.4419526792158,0,,0,0,
2100-1430,保土ヶ谷区NO.66,segment_50_S5,139.569845309096,35.4419077636571,0,,0,0,
2100-1430,保土ヶ谷区NO.66,segment_50_W5,139.569790177919,35.4419526792158,0,,0,0,
2106-1430,保土ヶ谷区NO.73,center,139.564937762162,35.4338157262074,1,2106-1430,12,12,
2386-1430,南区NO.26,center,139.595564285037,35.4265145167466,0,,0,0,
2386-1430,南区NO.26,segment_75,139.595563275616,35.4265153715163,0,,0,0,
2386-1430,南区NO.26,segment_50,139.595562266195,35.426516226286,0,,0,0,
2386-1430,南区NO.26,segment_25,139.595561256774,35.4265170810557,0,,0,0,
2386-1430,南区NO.26,center_N5,139.595564285037,35.4265594323053,0,,0,0,
2386-1430,南区NO.26,center_E5,139.595619405645,35.4265145167466,0,,0,0,
2386-1430,南区NO.26,center_S5,139.595564285037,35.4264696011879,0,,0,0,
2386-1430,南区NO.26,center_W5,139.595509164429,35.4265145167466,0,,0,0,
2386-1430,南区NO.26,segment_50_N5,139.595562266195,35.4265611418447,0,,0,0,
2386-1430,南区NO.26,segment_50_E5,139.595617386804,35.426516226286,0,,0,0,
2386-1430,南区NO.26,segment_50_S5,139.595562266195,35.4264713107273,0,,0,0,
2386-1430,南区NO.26,segment_50_W5,139.595507145586,35.426516226286,0,,0,0,
2387-1430,南区NO.31,center,139.589847805562,35.4198871101414,0,,0,0,
2387-1430,南区NO.31,segment_75,139.589843984171,35.419886001356,0,,0,0,
2387-1430,南区NO.31,segment_50,139.589840162781,35.4198848925707,0,,0,0,
2387-1430,南区NO.31,segment_25,139.58983634139,35.4198837837854,0,,0,0,
2387-1430,南区NO.31,center_N5,139.589847805562,35.4199320257001,0,,0,0,
2387-1430,南区NO.31,center_E5,139.589902921635,35.4198871101414,0,,0,0,
2387-1430,南区NO.31,center_S5,139.589847805562,35.4198421945827,1,2387-1430,12,12,
2043-1430,南区NO.32,center,139.592377940153,35.4185315879251,1,2043-1430,12,12,
2388-1430,南区NO.36,center,139.595198711499,35.41571612723,0,,0,0,
2388-1430,南区NO.36,segment_75,139.595197039874,35.4157192579225,0,,0,0,
2388-1430,南区NO.36,segment_50,139.59519536825,35.415722388615,0,,0,0,
2388-1430,南区NO.36,segment_25,139.595193696625,35.4157255193075,0,,0,0,
2388-1430,南区NO.36,center_N5,139.595198711499,35.4157610427887,0,,0,0,
2388-1430,南区NO.36,center_E5,139.595253824719,35.41571612723,0,,0,0,
2388-1430,南区NO.36,center_S5,139.595198711499,35.4156712116713,0,,0,0,
2388-1430,南区NO.36,center_W5,139.595143598279,35.41571612723,0,,0,0,
2388-1430,南区NO.36,segment_50_N5,139.59519536825,35.4157673041737,0,,0,0,
2388-1430,南区NO.36,segment_50_E5,139.595250481474,35.415722388615,0,,0,0,
2388-1430,南区NO.36,segment_50_S5,139.59519536825,35.4156774730562,0,,0,0,
2388-1430,南区NO.36,segment_50_W5,139.595140255025,35.415722388615,0,,0,0,
2049-1430,南区NO.39,center,139.616851997082,35.4210310893533,1,2049-1430,12,12,
2389-1430,南区NO.44,center,139.613930854881,35.4236589806039,0,2046-1430,12,12,
2389-1430,南区NO.44,segment_75,139.613931147411,35.4236612729529,0,2046-1430,12,12,
2389-1430,南区NO.44,segment_50,139.613931439941,35.423663565302,0,2046-1430,12,12,
2389-1430,南区NO.44,segment_25,139.61393173247,35.423665857651,0,2046-1430,12,12,
2389-1430,南区NO.44,center_N5,139.613930854881,35.4237038961626,0,2046-1430,12,12,
2389-1430,南区NO.44,center_E5,139.613985973535,35.4236589806039,0,2046-1430,12,12,
2389-1430,南区NO.44,center_S5,139.613930854881,35.4236140650452,0,2046-1430,12,12,
2389-1430,南区NO.44,center_W5,139.613875736227,35.4236589806039,0,2046-1430,12,12,
2389-1430,南区NO.44,segment_50_N5,139.613931439941,35.4237084808607,0,2046-1430,12,12,
2389-1430,南区NO.44,segment_50_E5,139.613986558598,35.423663565302,0,2046-1430,12,12,
2389-1430,南区NO.44,segment_50_S5,139.613931439941,35.4236186497432,0,2046-1430,12,12,
2389-1430,南区NO.44,segment_50_W5,139.613876321283,35.423663565302,0,2046-1430,12,12,
2030-1430,南区NO.7,center,139.607712620765,35.4341487014882,1,2030-1430,12,12,
847-1430,戸塚区NO.110,center,139.543668400728,35.3895311131387,0,,0,0,
847-1430,戸塚区NO.110,segment_75,139.543671003046,35.389576798604,0,,0,0,
847-1430,戸塚区NO.110,segment_50,139.543673605364,35.3896224840693,0,,0,0,
847-1430,戸塚区NO.110,segment_25,139.543676207682,35.3896681695347,0,,0,0,
847-1430,戸塚区NO.110,center_N5,139.543668400728,35.3895760286974,0,,0,0,
847-1430,戸塚区NO.110,center_E5,139.543723496049,35.3895311131387,0,,0,0,
847-1430,戸塚区NO.110,center_S5,139.543668400728,35.38948619758,0,,0,0,
847-1430,戸塚区NO.110,center_W5,139.543613305406,35.3895311131387,0,,0,0,
847-1430,戸塚区NO.110,segment_50_N5,139.543673605364,35.3896673996281,0,,0,0,
847-1430,戸塚区NO.110,segment_50_E5,139.543728700748,35.3896224840693,0,,0,0,
847-1430,戸塚区NO.110,segment_50_S5,139.543673605364,35.3895775685106,0,,0,0,
847-1430,戸塚区NO.110,segment_50_W5,139.54361850998,35.3896224840693,0,,0,0,
849-1430,戸塚区NO.121,center,139.559139462153,35.4009251586761,0,849-1430|853-1430,0,0,
849-1430,戸塚区NO.121,segment_75,139.559139367865,35.4009251590071,0,849-1430|853-1430,0,0,
849-1430,戸塚区NO.121,segment_50,139.559139273577,35.4009251593381,0,849-1430|853-1430,0,0,
849-1430,戸塚区NO.121,segment_25,139.559139179288,35.400925159669,0,849-1430|853-1430,0,0,
849-1430,戸塚区NO.121,center_N5,139.559139462153,35.4009700742348,0,849-1430|853-1430,0,0,
849-1430,戸塚区NO.121,center_E5,139.55919456526,35.4009251586761,0,849-1430|853-1430,0,0,
849-1430,戸塚区NO.121,center_S5,139.559139462153,35.4008802431174,0,849-1430|853-1430,0,0,
