place_id,sequence_string,sequence_label,sequence_cluster_id
13115005300,0110000,seq_0110000,SC1
13115005400,1110000,seq_1110000,SC1
13115005600,1001000,seq_1001000,SC3
13115005700,0000100,seq_0000100,SC4
13115005800,0000100,seq_0000100,SC4
13115005900,0111000,seq_0111000,SC1
13115006000,1111100,seq_1111100,SC1
13115006100,0001000,seq_0001000,SC3
13115006200,1111100,seq_1111100,SC1
13115006300,0100011,seq_0100011,SC1
13115006400,1100000,seq_1100000,SC1
13115006500,0111110,seq_0111110,SC1
13115006600,0101000,seq_0101000,SC1
13115006700,0110000,seq_0110000,SC1
13115006800,0111010,seq_0111010,SC1
13115007000,0001100,seq_0001100,SC3
13115007100,0101000,seq_0101000,SC1
13115007200,0111001,seq_0111001,SC1
13115007600,1100001,seq_1100001,SC1
13115007700,0100000,seq_0100000,SC1
13115007800,0101001,seq_0101001,SC1
13115007900,0100000,seq_0100000,SC1
13115008000,0101000,seq_0101000,SC1
13115008100,1110000,seq_1110000,SC1
13115008200,0100000,seq_0100000,SC1
13115008300,1100001,seq_1100001,SC1
13115008400,0101000,seq_0101000,SC1
13115008500,1100000,seq_1100000,SC1
13115008600,0100000,seq_0100000,SC1
13115008700,0100000,seq_0100000,SC1
13115008900,1100000,seq_1100000,SC1
13115009000,0001000,seq_0001000,SC3
13115009100,0100110,seq_0100110,SC1
13115009200,1101000,seq_1101000,SC1
13115009300,0001000,seq_0001000,SC3
13115009400,0100000,seq_0100000,SC1
13115009500,1000000,seq_1000000,SC5
13115010100,1100000,seq_1100000,SC1
13115010200,0100000,seq_0100000,SC1
13115010300,0100000,seq_0100000,SC1
13115010400,0100000,seq_0100000,SC1
