normalized_token,activity_domain,evidence_role,allowed_phases,active,note
城跡,institutional,specialized,Me,TRUE,7期区分では中世の城館・居館・関所等として扱う。
居館跡,institutional,specialized,Me,TRUE,7期区分では中世の城館・居館・関所等として扱う。
陣屋,institutional,specialized,Me,TRUE,7期区分では中世の城館・居館・関所等として扱う。
関所,institutional,specialized,Me,TRUE,7期区分では中世の城館・居館・関所等として扱う。
関所跡,institutional,specialized,Me,TRUE,7期区分では中世の城館・居館・関所等として扱う。
窯,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
窯跡,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
窯群,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
石灰窯跡,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
炭焼窯跡,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
鍛冶工房,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
鍛冶工房跡,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
生産遺跡,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
生産関連,production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
生産跡(小鍛冶跡),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(工房),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(炭窯),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(生産関連),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(生産),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(産業遺跡),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(工場),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(工場跡),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(鍛冶遺構),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(製鉄),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(鋳物工房跡),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(鍛冶炉),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(炭焼窯),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(生産(切石)関連),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(銭座),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(麹室),production,specialized,Ko;Na;He;Me,TRUE,生産関連。SiteType単独では複数時期に展開せず、観測時期が一意に絞れる場合のみ付与。
その他(塚),monument,specialized,Me,TRUE,塚・経塚系の明示的表記。7期区分では中世候補として扱う。
その他(塚群),monument,specialized,Me,TRUE,塚・経塚系の明示的表記。7期区分では中世候補として扱う。
その他(富士塚),monument,specialized,Me,TRUE,塚・経塚系の明示的表記。7期区分では中世候補として扱う。
その他(経塚),monument,specialized,Me,TRUE,塚・経塚系の明示的表記。7期区分では中世候補として扱う。
塚(経塚),monument,specialized,Me,TRUE,塚・経塚系の明示的表記。7期区分では中世候補として扱う。
(経)塚,monument,specialized,Me,TRUE,塚・経塚系の明示的表記。7期区分では中世候補として扱う。
墳墓(円墳),monument,specialized,Ko,TRUE,円墳と明示された墳墓。
墳墓(方形周溝墓),monument,specialized,Ya;Ko,TRUE,方形周溝墓。観測時期が一意の場合のみ自動付与。
その他(方形周溝墓),monument,specialized,Ya;Ko,TRUE,方形周溝墓。観測時期が一意の場合のみ自動付与。
集落(方形周溝墓),monument,specialized,Ya;Ko,TRUE,方形周溝墓。観測時期が一意の場合のみ自動付与。
社寺地,institutional,specialized,Na;He;Me,TRUE,寺社地。時期が一意に絞れる場合のみ自動付与。
その他(役所跡),institutional,specialized,Na;He;Me,TRUE,役所・制度施設。時期が一意の場合のみ付与。
窯跡(瓦窯),production,specialized,Ko;Na;He;Me,TRUE,瓦窯。時期が一意の場合のみ自動付与。
その他(炭窯生業址),production,specialized,Ko;Na;He;Me,TRUE,生産・生業関連。時期が一意の場合のみ自動付与。
その他(生業址),production,specialized,Ko;Na;He;Me,TRUE,生産・生業関連。時期が一意の場合のみ自動付与。
屋敷(町屋),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,居住・生活に関わる明示的な一般活動。複数時期の場合はSiteType単独で時期を展開しない。
その他(町屋跡),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,居住・生活に関わる明示的な一般活動。複数時期の場合はSiteType単独で時期を展開しない。
屋敷(町屋屋敷),general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,居住・生活に関わる明示的な一般活動。複数時期の場合はSiteType単独で時期を展開しない。
井戸跡,general_activity,explicit_general,Pa;Jo;Ya;Ko;Na;He;Me,TRUE,居住・生活に関わる明示的な一般活動。複数時期の場合はSiteType単独で時期を展開しない。
