"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","X","Y"
13101002200,13101,"22","とうきょうこくりつきんだいびじゅつかんいせき","東京国立近代美術館遺跡","千代田区 北の丸公園","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世]","集落・城館","[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構","縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製カ帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨",139.754735,35.69037522,-7113.60278649313,-34348.486632298
13101002400,13101,"24","こっかいとしょかんいせき","国会図書館遺跡","千代田区 永田町一丁目","[近世]","井戸跡","[近世]井戸","煙管　井戸側板",139.7445784,35.67859066,-8034.01530243109,-35655.1073792218
13101002500,13101,"25","","千代田区No.25遺跡","千代田区 神田須田町一丁目","[近世]","上水道","[近世]上水木樋","",139.769836,35.696224,-5746.45536935479,-33700.5985437062
13101002600,13101,"26","","千代田区No.26遺跡","千代田区 神田淡路町一丁目","[近世]","包蔵地","","陶磁器",139.7661052,35.69560776,-6084.13649265229,-33768.7408855768
13101002700,13101,"27","","千代田区No.27遺跡","千代田区 内幸町一丁目","[近世]","上水路跡","[近世]井戸　埋桝　継手","陶磁器　瓦　井戸側板・底板　下駄",139.7569037,35.66994487,-6919.08637390008,-36615.2258345098
13101002800,13101,"28","えどじょうそとぼりあと","江戸城外堀跡","千代田区 霞が関三丁目 紀尾井町～富士見町","[近世]","城館","※一部、国指定史跡江戸城外堀跡となっています。 [近世]谷 城館跡 壕 石垣","",139.748561,35.67075371,-7674.2641130599,-36524.8720969544
13101002900,13101,"29","おおてまちいっちょうめいせき","大手町一丁目遺跡","千代田区 大手町一丁目","[近世]","城館・屋敷・その他（石垣）","[近世]石垣遺構　建物跡　礎石列　穴蔵　竈　石組溝　上水木樋　上水井戸　下水溝　埋樋","陶磁器　土器　瓦　金属製品　銭貨　木製品　石製品　土製品　ガラス製品　動物遺体等",139.7647658,35.68849034,-6205.90333972652,-34558.2795365733
13101003000,13101,"30","ときわばしもんあと","常盤橋門跡","千代田区 大手町二丁目","[近世][近代]","城館・石橋","※一部、国指定史跡常盤橋門跡となっています。","",139.7700186,35.68592491,-5730.66686056433,-34843.213028261
13101003100,13101,"31","","千代田区No.31遺跡","千代田区 北の丸公園","[近世]","城館","[近世]石積暗渠","",139.7517137,35.68965024,-7387.11477584258,-34428.6944641746
13101003200,13101,"32","","千代田区No.32遺跡","千代田区 大手町一丁目","[近世]","城館","一ツ橋門　[近世]石垣遺構","",139.7593756,35.69116723,-6693.53545610527,-34260.9455002829
13101003300,13101,"33","きじばしかんれんいせき","雉子橋関連遺跡","千代田区 九段南一丁目","[近世]","城館","江戸城外堀　雉子橋　[近世]石垣　橋脚基礎遺構","陶磁器　瓦　間知石　金属製品　木製品　人骨　獣骨",139.7555304,35.69325849,-7041.36106153112,-34028.6675342915
13101003500,13101,"35","","千代田区No.35遺跡","千代田区 隼町","[近世]","その他（上水道）","[近世]上水木樋","",139.7449217,35.6801245,-8002.78694280074,-35484.9680999415
13101003600,13101,"36","","千代田区No.36遺跡","千代田区 外神田四丁目","[近世]","上水道","[近世]上水木樋　継手","",139.7719215,35.70110099,-5557.38094158637,-33159.6538545146
13101003700,13101,"37","ながたちょういっちょうめいせき","永田町一丁目遺跡","千代田区 永田町一丁目","[近世]","屋敷","[近世]上水木樋　継手　石組溝　上水跡　土坑　上水道関連施設","木樋　継ぎ手　陶磁器　土器　瓦　金属製品　銭貨　金属製品　石製品　ガラス製品",139.7464324,35.67343119,-7866.69919368893,-36227.659091946
13101003800,13101,"38","","千代田区No.38遺跡","千代田区 北の丸公園","[近世]","上水道","[近世]上水木樋","",139.7515764,35.68912043,-7399.59026390455,-34487.4624121271
13101003900,13101,"39","","千代田区No.39遺跡","千代田区 霞ヶ関三丁目","[近世]","上水道","[近世]上水木樋","",139.7453681,35.67122785,-7963.26372937738,-36472.0160462667
13101004000,13101,"40","","千代田区No.40遺跡","千代田区 大手町一丁目","[近世]","上水道","[近世]井戸　上水木樋　焼土整理土坑　土坑　小穴","底板　円形木桝　木栓　陶磁器　土器　土製品　瓦",139.7624312,35.68757014,-6417.27681238826,-34660.2184829074
13101004100,13101,"41","ひらかわちょういせき","平河町遺跡","千代田区 平河町二丁目","[縄文時代][弥生時代][古墳時代][中世][近世]","包蔵地","[中世]地下式土坑","陶磁器",139.7401839,35.67928786,-8431.72818593683,-35577.3903214697
13101004200,13101,"42","きおいちょういせき","紀尾井町遺跡","千代田区 紀尾井町","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][中世][近世][近代]","包蔵地・集落・屋敷","土坑　盛土　土手　石組溝　土坑　埋桶　柱穴　石垣遺構（紀州和歌山藩屋敷関係）　石垣　溝","縄文土器　弥生土器　陶磁器　瓦　金属製品　泥人形　間知石　石製品",139.7371627,35.68084957,-8705.03252971622,-35403.8675143006
13101004300,13101,"43","みろくじあと","弥勒寺跡","千代田区 岩本町二丁目","[近世]","社寺","[近世]木樋　継手　墓址（早桶・蔵骨器）　地下室　土坑　下水溝　建物跡　上水","陶磁器　瓦　煙管　箸　銭貨　早桶　人骨　木桶　継手　桶　漆器　数珠　木刀　人形　陶磁器類　木製品",139.7781414,35.69349859,-4994.99350156068,-34003.4159817355
13101004400,13101,"44","","千代田区No.44遺跡","千代田区 永田町二丁目","[近世]","上水路跡","[近世]石樋","",139.7383986,35.67886955,-8593.37539951725,-35623.6437727399
13101004500,13101,"45","ひらかわちょう1-4いせき","平河町1-4遺跡","千代田区 平河町一丁目","[弥生時代（後期）][近世]","集落・町人地跡","[弥生時代]住居　[近世]土坑","弥生土器　陶磁器　獣骨",139.7386046,35.68238336,-8574.35260232767,-35233.8325063027
13101004600,13101,"46","よんばんちょう11いせき","四番町11遺跡","千代田区 四番町","[近世]","屋敷跡","","陶磁器　銭貨",139.7395133,35.68900116,-8491.40047695922,-34499.7185684889
13101004700,13101,"47","いずみはかたはんむさしおかべはんかみやしきあと","和泉伯太藩・武蔵岡部藩上屋敷跡","千代田区 永田町二丁目","[近世]","屋敷","[近世]土坑　地下室　井戸","陶磁器　瓦　金属製品　木製品　銭貨",139.7407675,35.67647114,-8379.196138587,-35889.9327837207
13101004800,13101,"48","ひがしかんだ1-5いせき","東神田1-5遺跡","千代田区 東神田一丁目","[近世]","墓地跡","[近世]墓","陶磁器　銭貨　早桶",139.779961,35.69405625,-4830.28198789566,-33941.6389516408
13101004900,13101,"49","いちばんちょういせき","一番町遺跡","千代田区 一番町","[縄文時代][弥生時代][近世]","武家屋敷","[縄文時代]土坑　[弥生時代]方形周溝墓　[近世]建物　土坑　地下室　井戸","縄文土器　弥生土器　陶磁器　瓦　金属製品",139.739685,35.68690979,-8476.08159733434,-34731.7545452199
13101005000,13101,"50","よつやみつけあと","四谷見附跡","千代田区 麹町六丁目","[近世]","城館","[近世]石垣","",139.7315483,35.68610111,-9212.62500438833,-34820.7385566401
13101005100,13101,"51","","千代田区No.51遺跡","千代田区 丸の内一丁目","[中世]","墓地跡","","人骨",139.7661971,35.68075227,-6076.94614209379,-35416.8467254673
13101005200,13101,"52","まるのうちさんちょうめいせき","丸の内三丁目遺跡","千代田区 丸の内三丁目","[近世][近代]","城館・屋敷・その他（道）","土佐高知藩・阿波徳島藩上屋敷 [近世]建物礎石 地下室 木樋 上水井戸 下水溝 区画石積溝 石組溝 建物基礎 瓦溜 柵列状遺構 土坑 小穴 煉瓦遺構 煉瓦基礎建物","陶磁器 土器 瓦 金属製品 土製品 石製品 木製品 竹製品 漆器 煉瓦 自然遺物",139.7646006,35.67654116,-6221.78285071328,-35883.9356902678
13101005300,13101,"53","","千代田区No.53遺跡","千代田区 有楽町一丁目","[中世][近世]","社寺・上水跡","[中世]墓 [近世]上水道","木樋 人骨",139.7607833,35.67529979,-6567.43192896836,-36021.4072168708
13101005400,13101,"54","","千代田区No.54遺跡","千代田区 東神田一丁目","[近世]","墓地跡","","人骨",139.7803043,35.69330341,-4799.25788500169,-34025.1775488717
13101005500,13101,"55","はやぶさちょういせき","隼町遺跡","千代田区 隼町","[縄文時代][近世]","包蔵地・武家屋敷跡","[時期不明]土坑　ピット","縄文土器　陶磁器",139.7426901,35.68310842,-8204.48004552817,-35153.7417750917
13101005600,13101,"56","さんばんちょういせき","三番町遺跡","千代田区 三番町","[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]","集落・貝塚・屋敷","[縄文時代]貝塚　ピット　住居址　[弥生時代]ピット　住居址　[近世]土坑　溝　地下室　井戸　建物跡","縄文土器　石器（縄文）　耳飾り　弥生土器　石器（弥生）　陶磁器　瓦（近世）　石製品　金属製品（近世）",139.7464141,35.69089728,-7866.6411761077,-34289.9335236324
13101005700,13101,"57","おわりはんこうじまちていあと","尾張藩麹町邸跡","千代田区 紀尾井町　 麹町六丁目","[縄文時代（早期・中期・晩期）][近世]","屋敷","建物址　地下室　井戸　溝　土坑　小穴　麹室　上水跡　柱穴　墓壙　埋甕　井戸址　礎石","陶磁器　瓦　金属製品　木製品　動物遺存体　縄文土器　人骨",139.7324409,35.68314519,-9132.17205951083,-35148.7579592695
13101005800,13101,"58","ためいけいせき","溜池遺跡","千代田区 永田町二丁目","[縄文時代（前期・後期）][近世]","包蔵地・社寺・屋敷","[近世]建物　土留遺構　石組　井戸","陶磁器　漆器　木製品　建築材　動植物遺体",139.7413855,35.67348697,-8323.56369511029,-36221.0549203847
13101006000,13101,"60","いいだまちいせき","飯田町遺跡","千代田区 飯田町二丁目　 飯田町三丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[近世]屋敷境　地下室　土坑　上水道　石組溝　井戸　庭園","縄文土器　土師器　須恵器　陶磁器　瓦　砥石　硯　漆器　下駄　曲物",139.7498656,35.70120476,-7553.29044045924,-33146.6687736202
13101006100,13101,"61","めいじだいがくきねんかんまえいせき","明治大学記念館前遺跡","千代田区 神田駿河台一丁目","[近世]","武家屋敷","[近世]門基礎　地下室　便所　井戸　排水遺構","陶磁器　胞衣皿　瓦　金属製品",139.7615386,35.69730142,-6497.27582841414,-33580.549772065
13101006200,13101,"62","ひとつばしにちょうめいせき","一ツ橋二丁目遺跡","千代田区 一ツ橋二丁目","[近世]","幕府御用地","","",139.758174,35.69253353,-6802.17012628044,-34109.282562896
13101006300,13101,"63","まるのうちいっちょうめいせき","丸の内一丁目遺跡","千代田区 丸の内一丁目","[近世]","城館","[近世]石垣　建物跡","陶磁器　木製品　漆器",139.7668151,35.67806109,-6021.20901899222,-35715.4496661049
13101006400,13101,"64","そとかんだいっちょうめいせき","外神田一丁目遺跡","千代田区 外神田一丁目","[近世]","町屋","[近世]地下室　井戸　橋台","陶磁器　瓦　石製品　木製品",139.7719273,35.69720694,-5557.12625642925,-33591.6692747945
13101006500,13101,"65","ほうせいだいがくこうないいせき","法政大学構内遺跡","千代田区 富士見二丁目","[縄文時代（前期）][近世]","包蔵地・屋敷","[縄文時代]溝　小穴　[弥生～中世]溝　土坑[近世]溝　道路跡　溝　建物跡　穴蔵　井戸","縄文土器　弥生土器　石器　土師器　須恵器　陶磁器　　瓦　銭貨　金属製品　もく世田谷区品　骨角製品",139.7404933,35.69527317,-8402.04545353391,-33803.9719200844
13101006600,13101,"66","とうきょうえきやえすきたぐちいせき","東京駅八重洲北口遺跡","千代田区 丸の内一丁目","[古墳時代][近世]","包蔵地・屋敷","[近世]建物　石組溝　上水木桶　外堀石垣","陶磁器　瓦　ガラス製品　食器等",139.7696475,35.68278802,-5764.48106441715,-35191.2044362479
13101006700,13101,"67","いわもとちょうにちょうめいせき","岩本町二丁目遺跡","千代田区 岩本町二丁目","[近世]","町屋","[近世]下水溝","陶磁器　瓦",139.7780041,35.6941399,-5007.37937312512,-33932.2606109222
13101006800,13101,"68","よんばんちょういせき","四番町遺跡","千代田区 四番町","[近世]","屋敷","[近世]土坑　地下室　柱穴　井戸跡","陶磁器　瓦",139.7362174,35.68905693,-8789.69754978856,-34493.2413546276
13101006900,13101,"69","せいがんいんあと","栖岸院跡","千代田区 麹町五丁目","[近世]","その他の墓","[近世]石室墓　甕棺墓","陶磁器　土器　土人形　木製品",139.7341232,35.68504146,-8979.68791418352,-34938.5368578448
13101007000,13101,"70","もといいだまちいせき","元飯田町遺跡","千代田区 九段北一丁目","[近世]","屋敷","","陶磁器　瓦　木製品　金属製品　石製品",139.75172,35.69695497,-7385.87107914332,-33618.2916363791
13101007100,13101,"71","","千代田区No.71遺跡","千代田区 千代田","[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]","包蔵地","","縄文土器　石器　土錘　土製品　弥生土器　土師器　須恵器",139.7500377,35.68272514,-7539.45540733335,-35196.8524962357
13101007200,13101,"72","そとかんだよんちょうめいせき","外神田四丁目遺跡","千代田区 外神田四丁目","[近世]","その他（町地）","[近世]礎石　下水","陶磁器　瓦",139.7725739,35.70048762,-5498.38498784615,-33227.7393183304
13101007300,13101,"73","","千代田区No.73遺跡","千代田区 神田花岡町","[中世][近世]","その他の墓","","",139.7744679,35.69812702,-5327.14569091898,-33489.7342643155
13101007400,13101,"74","ひびやもんあといせき","日比谷門跡","千代田区 日比谷公園","[近世]","城館","","",139.758792,35.67516035,-6747.70174401658,-36036.7420192273
13101007500,13101,"75","もんぶかがくしょうこうないいせき","文部科学省構内遺跡","千代田区 霞ヶ関三丁目","[平安時代][近世]","包蔵地・城館・屋敷","[近世]石垣（外堀）　溝　ピット","陶磁器　瓦　須恵器",139.7490073,35.67131152,-7633.80837581887,-36463.0223856989
13101007600,13101,"76","ゆうらくちょうにちょうめいせき","有楽町二丁目遺跡","千代田区 有楽町二丁目","[近世]","屋敷","[近世]礎石　石組下水溝　井戸　上下水遺構　建物跡　地下室　礎石群　柱列　埋桶等","陶磁器　土器　瓦　漆器　木製品　金属製品　石製品　骨角製品等",139.7632895,35.67432366,-6340.64086534652,-36129.8655879178
13101007700,13101,"77","くだんみなみいっちょうめいせき","九段南一丁目遺跡","千代田区 九段南一丁目","[近世]","屋敷","[近世]建物址","陶磁器　瓦",139.7535735,35.69398344,-7218.4001437684,-33948.0978558153
13101007800,13101,"78","ふじみにちょうめいせき","富士見二丁目遺跡","千代田区 富士見二丁目","[弥生時代（後期）][近世]","集落・屋敷","[弥生時代]住居址　[近世]土坑　溝","弥生土器　陶磁器類",139.7449565,35.70079368,-7997.57342555774,-33191.8862163648
13101007900,13101,"79","ひろしまはんあさのけかみやしきあと","広島藩浅野家上屋敷跡","千代田区 霞ヶ関二丁目","[近世]","屋敷","[近世]擁壁石積　溝　石組溝　井戸","陶磁器片",139.7511016,35.67613647,-7443.76897999734,-35927.8939329484
13101008000,13101,"80","こうじまちにちょうめいせき","麹町二丁目遺跡","千代田区 麹町二丁目","[近世]","屋敷","[近世]土坑1基","陶磁器片",139.7409896,35.68551552,-8358.14805310044,-34886.5496522835
13101008100,13101,"81","かんだあわじちょうにちょうめいせき","神田淡路町二丁目遺跡","千代田区 淡路町二丁目","[近世]","屋敷","上水道跡　建物址　下水道跡　土坑　杭跡","陶磁器　瓦　金属製品　木製品　土器",139.7671004,35.69758024,-5993.9234177493,-33549.9705933005
13101008200,13101,"82","にばんちょういせき","二番町遺跡","千代田区 二番町","[近世]","屋敷","建物址　地下室　土坑","陶磁器　瓦",139.7373504,35.68551552,-8687.53674354862,-34886.2338705734
13101008300,13101,"83","ゆうらくちょういっちょうめいせき","有楽町一丁目遺跡","千代田区 有楽町一丁目","[近世]","屋敷","建物址　土坑　石組溝","陶磁器　土器類　瓦　自然遺物（貝類）",139.7590323,35.67376587,-6726.0660731262,-36191.4647748471
13101008400,13101,"84","","千代田区No.84遺跡","千代田区 岩本町二丁目","[近世]","墓地跡","","陶磁器　人骨",139.7775578,35.69321976,-5047.82818265451,-34034.3201672719
13101008500,13101,"85","つついけやしきあと","筒井家屋敷跡","千代田区 二番町","近世","屋敷跡","地下室　溝　土坑　上水竹樋　上水　井戸","陶磁器　土器　瓦　金属製品　銭貨　27世教生第17号の既製品　土製品　ガラス製品",139.7374877,35.68730019,-8674.91633168601,-34688.2508740168
13101008600,13101,"86","","千代田区No.86遺跡","千代田区 岩本町二丁目","[近世]","社寺・その他の墓","[近世]墓壙　上水樋　杭列　溝状遺構","[近世]人骨　早桶　銭貨　陶磁器　漆器",139.7762875,35.69358224,-5162.77022769304,-33994.0397807633
13101008700,13101,"87","かんだねりべいちょういせき","神田練塀町遺跡","千代田区 練塀町","[近世]","屋敷","池跡　建物基礎　溝状遺構　土壙","陶磁器　瓦　木製品　漆器",139.7747222,35.70003378,-5304.00602506677,-33278.2075851988
13101008800,13101,"88","ひとつばしとくがわけやしきあといせき","一橋徳川家屋敷跡遺跡","千代田区 大手町一丁目","[近世]","屋敷","[近世]石垣　石組溝　池跡　土壙","(近世)陶磁器　土器　瓦　木製品",139.7601653,35.69063744,-6622.10753326271,-34319.7751127123
13101008900,13101,"89","こうじまちごちょうめいせき","麹町五丁目遺跡","千代田区 麹町五丁目","[近世]","その他(町屋)","[近世]地下室　井戸　土坑　小穴","(近世)陶磁器　土器　石製品　瓦",139.7342948,35.6845674,-8964.20911418914,-34991.1457569247
13101009000,13101,"90","","千代田区No.90遺跡","千代田区 外神田五丁目","[近世]","その他(井戸)","[近世]井戸","",139.7721275,35.70327562,-5538.58884739057,-32918.406791814
13101009100,13101,"91","ざいむしょうこうないいせき","財務省構内遺跡","千代田区 霞が関三丁目","[近世]","屋敷","[近世]石組溝","",139.7489043,35.67329174,-7642.94390947519,-36243.3250462979
13101009200,13101,"92","","千代田区No.92遺跡","千代田区 東神田一丁目","[近世]","その他(石組溝)","[近世]石組溝","(近世)墓石",139.7800983,35.69294093,-4817.92319308808,-34065.3818058297
13101009300,13101,"93","","千代田区No.93遺跡","千代田区 神保町一丁目","[近世]","屋敷","[近世]上水　土坑　杭","(近世)陶磁器",139.7595134,35.69684344,-6680.59049639729,-33631.2232453964
13101009400,13101,"94","おうみひこねはんいいかみやしきあと","近江彦根藩井池上屋敷跡","千代田区 永田町一丁目","[近世][近代]","屋敷・陸軍省","[近世]土坑　杭穴　[近代]煉瓦建物跡　下水溝　礎石列","(近世)陶器　磁器　土器　瓦　(近代)陶器　磁器　煉瓦",139.7470792,35.67841427,-7807.66230210414,-35674.8780764696
13101009500,13101,"95","いせつばたとうどうけかみやしきあと","伊勢津幡藤堂家上屋敷跡","千代田区 神田和泉町","[近世]","屋敷","[近世]瓦溜　礎石　下水施設　杭跡　地下室","(近世)陶器　磁器　土器　瓦　土器または土製品　ガラス",139.7772176,35.70022356,-5078.17310635129,-33257.2848731305
13101009600,13101,"96","","千代田区No.96遺跡","千代田区 飯田橋","[近世]","外堀護岸石垣","","(近世)間知石",139.7498595,35.70251397,-7553.71896276275,-33001.4213706844
13101009700,13101,"97","かんださるがくちょういっちょうめいせき","神田猿楽町一丁目遺跡","千代田区 神田猿楽町","[近世]","屋敷","[近世]礎石列　池跡　杭列","(近世)磁器　陶器　土器　瓦　金属製品　ガラス製品　石製品　貝　煉瓦",139.7602719,35.69702232,-6611.93263422412,-33611.4292213166
13101009800,13101,"98","しみずとくがわけやしきあと","清水徳川家屋敷跡","千代田区 北の丸公園","[近世][近代]","屋敷・近衛歩兵第一第二連隊竹橋陣営","[近世]建物跡　石組溝　上水木樋　池　[近代]煉瓦造建物　石組溝　塹壕","(近世)陶磁器　瓦　金属製品　その他　(近代)陶磁器　煉瓦　金属製品　その他",139.7499773,35.69327693,-7543.92894581882,-34026.2093777565
13101009900,13101,"99","しまとばはんいながきけかみやしきあと","志摩鳥羽藩稲垣家上屋敷跡","千代田区 _町五丁目","縄文(中期・後期)　近世","集落・屋敷・その他","(縄文)住居跡　(近世)大型土坑　建物基礎　池跡　井戸　溝状遺構　土坑　礎石　小穴等","縄文土器　磁器　陶器　土器　瓦　金属製品　ガラス製品　煉瓦等",139.7342003,35.6835939,-8972.87153421344,-35099.139275754
13101010000,13101,"100","","千代田区No.100遺跡","千代田区 神田駿河台二丁目","[近世]","その他（上水施設）","(近世)上水遺構","",139.7570971,35.70118654,-6898.88786474693,-33149.2223672902
13101010100,13101,"101","かんだばしもんあと（ひがし）","神田橋門跡（東）","千代田区 大手町一丁目","[近世]","城館跡","[近世]石垣","",139.7647913,35.68847486,-6203.59658650065,-34559.9985323003
13102000100,13102,"1","","中央区No.1遺跡","中央区 日本橋本石町二丁目","[縄文時代]","包蔵地・集落","","縄文土器",139.7714904,35.6864713,-5597.41488792865,-34782.6802379437
13102000200,13102,"2","","中央区No.2遺跡","中央区 日本橋本石町一丁目","[中世]","貝塚","","中世土器　内耳土器　土錘　石器　管状土錘",139.7711986,35.68524433,-5623.91187332159,-34918.7862144423
13102000300,13102,"3","にほんばしいっちょうめいせき","日本橋一丁目遺跡","中央区 日本橋一丁目","[中世][近世]","包蔵地","[近世]石組下水　下水木樋　土蔵　穴蔵　埋甕　埋桶　胞衣埋納遺構　芥溜","陶磁器類　土製品(玩具等)　瓦　木製品(漆器椀・下駄他)　金属製品　石製品　ガラス製品　糸繊維製品",139.7748035,35.68259513,-5297.80183255154,-35212.8943806676
13102000400,13102,"4","きょうばしにちょうめいせき","京橋二丁目遺跡","中央区 京橋二丁目","[近世]","屋敷・　その他（上水路跡）","[近世]上水道　石組下水　土蔵址　穴蔵　胞衣埋納遺構　便槽　下水木樋　土坑　礎石　道路状遺構　建物址　建物基礎　石積・石組　埋桝　植栽痕　上水桝　上水木樋　竹","陶磁器　土器　瓦　木製品　金属製品　下駄　木樋　人骨　土製品　銭貨　石製品　骨角貝製品　ガラス製品　動植物遺体　他",139.7709444,35.67614398,-5647.56113575574,-35928.382828039
13102000500,13102,"5","","中央区No.5遺跡","中央区 日本橋蛎殻町一丁目　 日本橋蛎殻町二丁目","[近世]","屋敷（武家屋敷）・その他（入堀）","[近世]下水道管","陶磁器　カワラケ　瓦　箸　下駄　椀　連歯下駄",139.7855102,35.6827226,-4328.68267817126,-35199.2772352559
13102000600,13102,"6","はっちょうぼりさんちょうめ（だい2じ）いせき","八丁堀三丁目（第2次）遺跡","中央区 八丁堀三丁目","[近世]","社寺・屋敷","[近世]早桶　寺院跡～池　埋葬施設　卒塔婆遺構　町屋跡～土蔵址　建物基礎　穴蔵　下水木樋　井戸　武家屋敷跡","人骨　銭貨　板塔婆　陶磁器類　土製品　瓦類　木製品　金属製品　石製品　骨角貝製品　ガラス製品　動植物遺存体　卒塔婆　墓石",139.7769296,35.67534126,-5105.82087864054,-36017.7656872645
