"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","古墳"
14134008300,14134,"高津区No.83","千年-８遺跡","集落跡","高津区千年1177ほ","縄文　弥生　古墳　奈良　平安","千年-8",48,139.6188345,35.58168461,1
14134008400,14134,"高津区No.84","","横穴墓","川崎市高津区東野川2-13","古墳","久末-10",49,139.6142797,35.56967631,1
14134008500,14134,"高津区No.85","野川南耕地遺跡","集落跡","川崎市高津区東野川2-15","縄文　弥生　古墳　奈良　平安","久末-8",49,139.6148247,35.56916316,1
14134009300,14134,"高津区No.93","","横穴墓","高津区千年390付近","古墳","千年-3",49,139.623229,35.57967507,1
14134009400,14134,"高津区No.94","千年伊勢山台古墳","古墳","高津区千年449","古墳","千年-4",49,139.6236904,35.57870301,1
14134009500,14134,"高津区No.95","千年蟻山遺跡・伊勢山台北遺跡・千年伊勢山台遺跡・伊勢山台東遺跡・影向寺南遺跡","官衙跡 集落跡","高津区千年520ほか","縄文　弥生　古墳　奈良　平安 中世","千年-5",49,139.6224222,35.57739323,1
14134009600,14134,"高津区No.96","下原宿遺跡","散布地","高津区千年300","縄文　弥生　古墳　奈良　平安","千年-6",49,139.6242998,35.57575445,1
14134009800,14134,"高津区No.98","子母口富士見台古墳","古墳","高津区子母口69","古墳","千年-7",49,139.6253919,35.57436522,1
14134009900,14134,"高津区No.99","子母口植之台遺跡","集落跡","高津区子母口113ほか","縄文　古墳　奈良　平安　中世","千年-23",49,139.6255529,35.57389748,1
14134010000,14134,"高津区No.100","子母口植之台遺跡・蓮乗院北遺跡","集落跡","高津区子母口135ほか","縄文　弥生　古墳　中世　近世","千年-1",49,139.6261709,35.57233368,1
14134010100,14134,"高津区No.101","子母口貝塚・子母口根方遺跡","集落跡","高津区子母口240ほか","縄文　弥生　古墳　奈良　平安","千年-2",49,139.6283484,35.57222184,1
14134010200,14134,"高津区No.102","明津古墳（水塚）","古墳","高津区明津183","古墳","井田-12",49,139.6340676,35.56814996,1
14134010300,14134,"高津区No.103","蟹ヶ谷横穴墓群","横穴墓","高津区蟹ヶ谷108ほか","古墳","井田-5・15",49,139.634664,35.566327,1
14134010400,14134,"高津区No.104","蟹ヶ谷古墳群","古墳","高津区蟹ヶ谷109","古墳","井田-6",42,139.6354982,35.56596181,1
14134010600,14134,"高津区No.106","末長久保台南遺跡","集落跡","高津区末長1-18","縄文　弥生　古墳　奈良　平安","宮崎-3",52,139.608902,35.594135,1
14134010700,14134,"高津区No.107","久末秋谷横穴墓","横穴墓","高津区久末676","古墳","久末-11",49,139.6185908,35.56835392,1
14134010800,14134,"高津区No.108","蟹ヶ谷横穴墓群 (３号穴）","横穴墓","高津区蟹ヶ谷111","古墳","井田-14",42,139.635981,35.56616025,1
14134010900,14134,"高津区No.109","鎗ヶ崎遺跡","集落跡","高津区梶ヶ谷2-14-1","古墳","宮崎-34",52,139.601732,35.58792401,1
14134011000,14134,"高津区No.110","千年Ｂ地区横穴墓","横穴墓","高津区千年1117ほか","古墳","千年-25",49,139.6213064,35.57984173,1
14134011200,14134,"高津区No.112","","横穴墓","高津区千年112","古墳","千年-9",48,139.6203966,35.58087486,1
14134011300,14134,"高津区No.113","久本桃之園古墳","古墳","高津区久本1-14","古墳","末長-16",51,139.6108432,35.59637713,1
14134011400,14134,"高津区No.114","末長久保台古墳群","古墳","高津区末長2-25","縄文　古墳","末長-17",52,139.6115231,35.5931533,1
14134011700,14134,"高津区No.117","蟹ヶ谷西田原横穴墓群","横穴墓","高津区蟹ヶ谷209","古墳","久末-14",49,139.6304697,35.56489095,1
14134011800,14134,"高津区No.118","","横穴墓","高津区新作3-10-5ほか","古墳","千年-26",48,139.614166,35.586277,1
14134011900,14134,"高津区No.119","末長向台１号墳","古墳","高津区末長1-41","古墳","宮崎-39",52,139.6053957,35.59109329,1
14134012100,14134,"高津区No.121","久本山古墳","古墳","高津区久本1-16","古墳","末長-19",51,139.611818,35.59630795,1
14134012200,14134,"高津区No.122","末長久保台古墳群","古墳","高津区久本2-12","古墳","末長-20",52,139.6122249,35.59305853,1
14134012400,14134,"高津区No.124","","散布地","高津区千年1123","縄文　古墳　奈良　平安","末長-21",48,139.6211862,35.58065149,1
14134012500,14134,"高津区No.125","","古墳","高津区梶ヶ谷5-10","縄文　古墳　奈良　平安","千年-31",52,139.606628,35.584248,1
14134012700,14134,"高津区No.127","","散布地","高津区久末1694ほか","古墳","久末-15",49,139.6232428,35.56639904,1
14134012800,14134,"高津区No.128","津田山久地横穴墓","横穴墓","高津区久地1-28","古墳","津田山-43",51,139.6049525,35.60579244,1
14134012900,14134,"高津区No.129","津田山横穴墓群","横穴墓","高津区下作延7-12","古墳","津田山-44",51,139.6032865,35.60419826,1
14134013000,14134,"高津区No.130","緑ヶ丘霊園内遺跡","集落跡","高津区下作延2118","古墳","津田山-45",51,139.5915913,35.60631037,1
14134013100,14134,"高津区No.131","清水谷古墳(２号墳）","古墳","高津区梶ヶ谷2-1","古墳","宮崎-35",52,139.6038778,35.5907997,1
14134013500,14134,"高津区No.135","蟹ヶ谷四方之嶺横穴墓","横穴墓","高津区蟹ヶ谷277-1","古墳","久末-17",49,139.6314733,35.56597863,1
14134013600,14134,"高津区No.136","末長向台２号墳","古墳","高津区末長1-37","古墳","宮崎-38",52,139.6077411,35.58932197,1
14134013700,14134,"高津区No.137","末長向台３号墳","古墳","高津区末長1-43","古墳","宮崎-39",52,139.6062969,35.59085598,1
14134013800,14134,"高津区No.138","","散布地","高津区北野川6ほか","古墳　奈良　平安","千年-30",49,139.6216187,35.57889084,1
14134013900,14134,"高津区No.139","久地西前田耕地横穴墓群","横穴墓","高津区久地1-1","古墳","津田山-3",51,139.6069956,35.60492425,1
14134014000,14134,"高津区No.140","緑ヶ丘霊園内南横穴古墳","横穴墓","高津区上作延76-1","古墳","津田山-21",57,139.590012,35.60160682,1
14134014100,14134,"高津区No.141","","横穴墓","高津区上作延88","古墳","津田山-22",51,139.5909218,35.60145329,1
14134014300,14134,"高津区No.143","末長向台４号墳","古墳","高津区末長1-38","古墳","—",52,139.6079277,35.59054887,1
14134014400,14134,"高津区No.144","末長向台５号墳","古墳","高津区末長1-38","古墳","—",52,139.6071209,35.59067451,1
14134014500,14134,"高津区No.145","","古墳","高津区北見方2-6","古墳","—",46,139.6293171,35.60136761,1
14134014600,14134,"高津区No.146","末長向台６号墳","古墳","高津区末長1-41","古墳","—",52,139.6061681,35.59120496,1
14134014800,14134,"高津区No.148","影向寺遺跡・影向寺裏貝塚・影向寺台遺跡・影向寺北遺跡","社寺跡 集落跡 貝塚","宮前区野川本町3-4","縄文　弥生　古墳　奈良　平安 中世","千年-11",49,139.6182874,35.57945191,1
14134015000,14134,"高津区No.150","","散布地","宮前区宮崎3-3-22ほか","縄文　古墳　奈良　平安","宮崎-15",52,139.5934631,35.59211159,1
14134015100,14134,"高津区No.151","蟹ヶ谷四方之嶺遺跡","狩場 集落跡","高津区蟹ヶ谷字四方之嶺220付近","縄文　弥生　古墳","—",49,139.6311987,35.56643943,1
14136000100,14136,"宮前区No.1","野川２号墳","古墳","川崎市宮前区野川本町1-28","古墳","千年-21",48,139.613862,35.58141341,1
14136000200,14136,"宮前区No.2","野川北耕地遺跡","集落跡","川崎市宮前区野川本町1-29","縄文　弥生　古墳　奈良　平安","千年-15",48,139.6145658,35.58021275,1
14136000300,14136,"宮前区No.3","野川古墳(1号墳）","古墳","川崎市宮前区野川本町1-30","古墳","千年-17",48,139.6145658,35.57932621,1
14136000500,14136,"宮前区No.5","影向寺遺跡・影向寺裏貝塚・影向寺台遺跡・影向寺北遺跡","社寺跡 集落跡 貝塚","川崎市宮前区野川本町3-4","縄文　弥生　古墳　奈良　平安　中世","千年-11",49,139.6188058,35.57859672,1
14136000600,14136,"宮前区No.6","野川神明社境内遺跡","集落跡","川崎市宮前区野川本町3-10","縄文　弥生　古墳　奈良　平安","千年-12",48,139.6184797,35.57595795,1
14136000700,14136,"宮前区No.7","野川東耕地遺跡","集落跡","川崎市宮前区野川野川本町2-20","縄文　弥生　古墳　奈良　平安","千年-18",53,139.615098,35.5746874,1
14136000800,14136,"宮前区No.8","北根古墳","古墳","川崎市宮前区野川本町2-6","古墳","千年-22",48,139.6130102,35.57638378,1
14136000900,14136,"宮前区No.9","十三菩提遺跡","集落跡 その他の墓","川崎市宮前区野川2345ほか","縄文　弥生　古墳","久末-9",53,139.6099919,35.56915811,1
14136001000,14136,"宮前区No.10","十三菩提西遺跡","集落跡","川崎市宮前区野川2290ほか","縄文　弥生　古墳　奈良　平安","野川-1",54,139.6072797,35.56762214,1
14136001100,14136,"宮前区No.11","","散布地","川崎市宮前区西野川3-13","縄文　弥生　古墳　奈良　平安","野川-2",53,139.6058034,35.56929773,1
14136001200,14136,"宮前区No.12","","散布地","川崎市宮前区西野川3-12","縄文　弥生　古墳　奈良　平安","野川-3",53,139.6027687,35.56900108,1
14136001600,14136,"宮前区No.16","有馬古墳","古墳","川崎市宮前区東有馬5-15ほか","古墳","野川-5",54,139.5946834,35.56689261,1
14136001800,14136,"宮前区No.18","野川古墳（３号墳）","古墳","川崎市宮前区西野川1-38","古墳","馬絹-17",53,139.6083272,35.57784731,1
14136002200,14136,"宮前区No.22","","散布地","川崎市宮前区野川3119ほか","縄文　弥生　古墳　奈良　平安","馬絹-18",53,139.6025839,35.57518051,1
14136002300,14136,"宮前区No.23","","散布地","川崎市宮前区西野川3-8","縄文　弥生　古墳　奈良　平安","馬絹-8",53,139.6033907,35.57304427,1
14136002700,14136,"宮前区No.27","","散布地","川崎市宮前区宮崎3-3-22ほか","縄文　古墳　奈良　平安","宮崎-15",52,139.5878976,35.58862586,1
14136002800,14136,"宮前区No.28","宮崎大塚古墳","古墳","川崎市宮前区宮崎175","古墳","宮崎-17",52,139.597214,35.590809,1
14136003000,14136,"宮前区No.30","馬絹古墳","古墳","川崎市宮前区馬絹5-21","古墳","馬絹-6",52,139.6014381,35.58360344,1
14136003500,14136,"宮前区No.35","","散布地","川崎市宮前区宮崎1-11ほか","古墳","宮崎-27",52,139.5936282,35.58425968,1
14136003600,14136,"宮前区No.36","","散布地","川崎市宮前区宮崎1-10ほか","縄文　弥生　古墳　奈良　平安","宮崎-33",52,139.591782,35.58506,1
14136003800,14136,"宮前区No.38","","散布地","川崎市宮前区馬絹1-15","古墳","有馬-7",58,139.5872942,35.58142913,1
14136003900,14136,"宮前区No.39","小台遺跡","集落跡","川崎市宮前区小台2-10","縄文　古墳","有馬-6",58,139.5840513,35.58271904,1
14136004500,14136,"宮前区No.45","東有馬一丁目遺跡・骨蔵器","集落跡 その他の墓","川崎市宮前区有馬3-4ほか","縄文　弥生　古墳　奈良　平安","馬絹-23",59,139.5880267,35.57773861,1
14136006300,14136,"宮前区No.63","","散布地","川崎市宮前区小台1-10","縄文　弥生　古墳　奈良　平安","有馬-2",59,139.5792475,35.58003857,1
14136007500,14136,"宮前区No.75","東高根遺跡","集落跡","川崎市宮前区神木本町2-10","縄文　弥生　古墳　奈良　平安","五所塚-3",57,139.5864184,35.6048945,1
14136007800,14136,"宮前区No.78","","横穴墓","川崎市宮前区神木本町2-11","古墳","津田山-21",57,139.5875897,35.60202334,1
14136008300,14136,"宮前区No.83","東泉寺上遺跡","集落跡","川崎市宮前区平1-11","縄文　弥生　古墳　奈良　平安","五所塚-22",57,139.5785971,35.60242931,1
14136008400,14136,"宮前区No.84","","散布地","川崎市宮前区平1-10-39","縄文　古墳　奈良　平安","五所塚-23",57,139.5794382,35.60205246,1
14136009000,14136,"宮前区No.90","野川北耕地西遺跡","集落跡","川崎市宮前区野川本町1-14","縄文　弥生　古墳","千年-18",53,139.6127204,35.58008012,1
14136009900,14136,"宮前区No.99","長尾古墳","古墳","川崎市宮前区神木本町5-3","古墳","五所塚-7",57,139.5821993,35.60006563,1
14136010200,14136,"宮前区No.102","","散布地","川崎市宮前区神木本町4-18","縄文　弥生　古墳　奈良　平安","五所塚-11",57,139.585114,35.597305,1
14136010600,14136,"宮前区No.106","","散布地","川崎市宮前区神木2-9","縄文　弥生　古墳　奈良　平安","土橋-2",57,139.5818324,35.59531635,1
14136010700,14136,"宮前区No.107","","散布地","川崎市宮前区神木本町4-3-4ほか","縄文　弥生　古墳　奈良　平安","五所塚-10",57,139.5818903,35.59786027,1
14136010900,14136,"宮前区No.109","","散布地","川崎市宮前区平6-8ほか","縄文　弥生　古墳　奈良　平安","土橋-18",57,139.5772147,35.59646095,1
14136011700,14136,"宮前区No.117","","散布地","川崎市宮前区宮崎4-1ほか","縄文　弥生　古墳　奈良　平安","土橋-3",58,139.5862911,35.5932688,1
14136011900,14136,"宮前区No.119","","散布地","川崎市宮前区宮崎5-4-21ほか","古墳","宮崎-29",58,139.5878118,35.59122233,1
14136012000,14136,"宮前区No.120","","古墳","川崎市宮前区宮崎5-4ほか","古墳","宮崎-30",58,139.5887044,35.59083147,1
14136012700,14136,"宮前区No.127","土橋-４遺跡","散布地","川崎市宮前区宮前平2-12ほか","縄文　古墳　奈良　平安","土橋-4",58,139.5828175,35.58764692,1
14136013600,14136,"宮前区No.136","白井坂埴輪窯跡","生産遺跡","川崎市宮前区犬蔵1-1ほか","古墳","土橋-30",64,139.565944,35.59233303,1
14136014000,14136,"宮前区No.140","","散布地","川崎市宮前区犬蔵2-16","縄文　弥生　古墳　奈良　平安","蔵敷-5",64,139.5629056,35.5868469,1
14136014500,14136,"宮前区No.145","","散布地","川崎市宮前区犬蔵2-22ほか","縄文　弥生　古墳","蔵敷-6",64,139.5598415,35.586812,1
14136014900,14136,"宮前区No.149","","散布地","川崎市宮前区菅生1-12","縄文　弥生　古墳　奈良　平安","生田緑地-4",63,139.556778,35.601372,1
14136015000,14136,"宮前区No.150","","散布地","川崎市宮前区菅生1-9","縄文　弥生　古墳　奈良　平安","生田緑地-6",63,139.553284,35.600735,1
14136016200,14136,"宮前区No.162","菅生水沢遺跡Ｂ地点","集落跡","川崎市宮前区水沢1-1","縄文　古墳","蔵敷-11",64,139.5501013,35.59098478,1
14136016300,14136,"宮前区No.163","","散布地","川崎市宮前区水沢1-2ほか","縄文　弥生　古墳　奈良　平安","蔵敷-14",64,139.5475264,35.58964467,1
14136016600,14136,"宮前区No.166","菅生水沢遺跡Ｄ地点・Ｆ地点","集落跡","川崎市宮前区水沢1-1","縄文　弥生　古墳　奈良　平安","蔵敷-13",64,139.5468741,35.59225507,1
14136017100,14136,"宮前区No.171","潮見台遺跡Ｃ地点","散布地 その他の墓","川崎市宮前区潮見台2-38ほか","縄文　弥生　古墳　奈良　平安","稗原-3",69,139.5364224,35.59460062,1
14136017600,14136,"宮前区No.176","野川東耕地北遺跡","散布地","川崎市宮前区野川本町2-8","縄文　古墳　奈良　平安","千年-24",48,139.6145986,35.57684542,1
14136017900,14136,"宮前区No.179","","散布地","川崎市宮前区野川本町2-7","縄文　古墳　奈良　平安","千年-28",48,139.6134742,35.57679793,1
14136018000,14136,"宮前区No.180","","散布地","川崎市宮前区西野川1-15","縄文　弥生　古墳　奈良　平安","馬絹-7",53,139.601039,35.57611596,1
14136018200,14136,"宮前区No.182","野川西耕地遺跡","集落跡","川崎市宮前区野川3013","縄文　古墳","馬絹-30",53,139.5990649,35.57428248,1
14136018400,14136,"宮前区No.184","","散布地","川崎市宮前区平2-19","古墳","五所塚-42",57,139.5712693,35.60214144,1
14136019300,14136,"宮前区No.193","","散布地","高津区上作延722ほか","縄文　古墳　奈良　平安　中世","津田山-23",57,139.5864501,35.59720074,1
14136019400,14136,"宮前区No.194","","散布地","川崎市宮前区馬絹1-19","古墳","―",58,139.5857335,35.58256547,1
14135000200,14135,"多摩区No.2","下原遺跡","集落跡","川崎市多摩区長尾7-12","縄文　弥生　古墳　奈良　平安","五所塚-2",56,139.584793,35.606651,1
